stt,word,pronunciation,meaning,word_type,example,topic,source_url
host / /həust/,"đăng cai, chủ nhà",noun/verb,They will host the international conference.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
authentic / /5: '0entık/,xác thực,adjective,This is an authentic signature.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
opposite / /'ppəzıt/,"đối diện, điều trái ngược",adjective/noun,The park is opposite the library.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
regional / /'ri:dzənl/,thuộc vùng,adjective,Regional differences exist.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
surge / /s3:d3/,sự tăng vọt lên,noun/verb,A surge in sales was observed.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
demand / /dı'ma:nd/,"nhu cầu, đòi hỏi",noun/verb,The demand for new products is high.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
senior / /'si:niǝ(r)/,"cao cấp, cao niên",adjective,He is a senior manager.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
replace / /rr'plers/,thay thế,verb,We need to replace the old equipment.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
strategy / /'strætədzi/,chiến lược,noun,Our strategy focuses on growth.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
practice / /'præktıs/,thực hành,noun/verb,Practice makes perfect.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
flexible / /'fleksəbl/,linh hoạt,adjective,Flexible working hours are available.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
alternate / /o:1't3:nət/,"xen kẹ, thay phiên",adjective,They work on an alternate basis.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
replacement / /rı'pleısmənt/,sự thay thế,noun,The replacement of the old server was smooth.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
creation / /kri'eıfn/,sự sáng tạo,noun,The creation of new products takes time.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
enhance / /in'ha:ns/,nâng cao,verb,This will enhance your skills.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
on one's behalf / /an wvuz bı'ha:f/,thay mặt ai,phrase,He spoke on behalf of the team.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
reside / /rı'zaıd/,cư trú,verb,They reside in New York.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
arrange / /ǝ'reindʒ/,sắp xếp,verb,She will arrange the meeting.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
distribute / /'dıstribju:t/,phân phối,verb,They distribute food to the needy.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
supplemental / /sʌplı'mentri/,bổ sung,adjective,This is a supplemental report.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
recipient / /rı'sıpiənt/,người nhận,noun,He is the recipient of the award.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
perspective / /pǝ'spektıv/,góc nhìn,noun,"From my perspective, it's a good idea.",,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
"worthwhile / /,w3:0'waıl/",đáng giá,adjective,The trip was worthwhile.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
productivity / /.prodʌk'tıvəti/,năng suất,noun,The factory's productivity has improved.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
disposable / /dr'spəuzəbl/,dùng một lần,adjective,Disposable cups are convenient.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
project / /prǝ'dzekt/,dự án,noun/verb,They started a new project.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
mindful of / /'maindfl əv/,chú ý đến,phrase,She is mindful of her responsibilities.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
structure / /' straktfə(r)/,cấu trúc,noun,The structure of the building is solid.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
correspond with / / korə'spond wıð/,"trao đổi thư từ, giống với",phrase,They correspond with clients regularly.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
word / /wɜːrd/,từ,noun,This word has multiple meanings.,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng đọc (P3) Cô Mai Phương,https://luyentu.com/words
remove / /rı'muːv/,Loại bỏ,v,Please remove the old files from the folder. (Hãy loại bỏ các tệp cũ khỏi thư mục),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
spill / /spɪl/,Tràn,v,Be careful not to spill the coffee. (Cẩn thận đừng làm đổ cà phê),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
railing / /'reɪ.lɪŋ/,Lan can,n,She leaned on the railing to enjoy the view. (Cô ấy tựa vào lan can để ngắm cảnh),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
arrange / /ə'reɪndʒ/,Sắp xếp,v,We need to arrange the chairs before the event. (Chúng ta cần sắp xếp ghế trước buổi sự kiện),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
out of stock / ,Hết hàng,adj,The product is currently out of stock. (Sản phẩm hiện đang hết hàng),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
be scheduled to do / ,Được lên lịch làm gì,v,The meeting is scheduled to take place at 3 PM. (Cuộc họp được lên lịch lúc 3 giờ chiều),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
require / /rɪ'kwaɪər/,Yêu cầu,v,This job requires strong communication skills. (Công việc này yêu cầu kỹ năng giao tiếp tốt),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
charge / /tʃɑ:dʒ/,Sạc / Phí,v/n,They charge a fee for delivery. (Họ tính phí giao hàng),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
supervisor / /'suː.pə.vaɪ.zər/,Người giám sát,n,The supervisor will review your work. (Người giám sát sẽ kiểm tra công việc của bạn),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
harvest / /'hɑː.vɪst/,Thu hoạch,v,Farmers harvest rice in the autumn. (Nông dân thu hoạch lúa vào mùa thu),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
demonstration / /ˌdem.ən'streɪ.ʃən/,Minh họa,giới thiệu (SP),n,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
prefer / /prɪ'fɜːr/,Thích hơn,v,I prefer tea to coffee. (Tôi thích trà hơn cà phê),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
aisle / /aɪl/,Lối đi,n,Please walk along the aisle. (Hãy đi dọc lối đi),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
officially / /ə'fɪʃ.əl.i/,Một cách chính thức,adv,The results will be officially announced tomorrow. (Kết quả sẽ được công bố chính thức vào ngày mai),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
donate / /dəʊ'neɪt/,Quyên góp,v,They donated clothes to the charity. (Họ quyên góp quần áo cho tổ chức từ thiện),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
foundation / /faʊn'deɪ.ʃən/,Tổ chức,n,The foundation supports education projects. (Tổ chức này hỗ trợ các dự án giáo dục),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
organization / /ˌɔː.ɡən.aɪ'zeɪ.ʃən/,Tổ chức,n,This organization helps homeless people. (Tổ chức này giúp đỡ người vô gia cư),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
expand / /ɪk'spænd/,Mở rộng,v,The company plans to expand overseas. (Công ty dự định mở rộng ra nước ngoài),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
create / /kri'eɪt/,Tạo,v,They will create a new software tool. (Họ sẽ tạo ra một công cụ phần mềm mới),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
application / /ˌæp.lɪ'keɪ.ʃən/,Ứng dụng,đơn xin,n,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
registration / /ˌredʒ.ɪ'streɪ.ʃən/,Sự đăng ký,n,Online registration is now open. (Đăng ký trực tuyến đã mở),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
participant / /pɑː'tɪs.ɪ.pənt/,Người tham gia,n,Each participant must sign in. (Mỗi người tham gia phải điểm danh),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
impressive / /ɪm'pres.ɪv/,Ấn tượng,adj,Her presentation was very impressive. (Bài thuyết trình của cô ấy rất ấn tượng),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
turnout / /'tɜːn.aʊt/,Số người tham dự,n,The event had a great turnout. (Sự kiện có số người tham dự đông),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
certainly / /'sɜː.tən.li/,Một cách chắc chắn,adv,I will certainly help you. (Tôi chắc chắn sẽ giúp bạn),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
variety / /və'raɪ.ə.ti/,Nhiều,đa dạng,n,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
streamline / /'striːm.laɪn/,Tinh giản,cải thiện,v,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
specific / /spə'sɪf.ɪk/,Cụ thể,adj,Please give me specific instructions. (Hãy cho tôi hướng dẫn cụ thể),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
executive / /ɪɡ'zek.jə.tɪv/,Người điều hành,n,The executive approved the proposal. (Người điều hành đã phê duyệt đề xuất),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
administrative / /əd'mɪn.ɪ.strə.tɪv/,Thuộc quản trị,adj,She handles administrative tasks. (Cô ấy xử lý các công việc hành chính),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
investment / /ɪn'vest.mənt/,Sự đầu tư,n,Real estate is a long-term investment. (Bất động sản là khoản đầu tư dài hạn),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
cost estimate / /kɒst 'es.tɪ.meɪt/,Ước tính chi phí,n,We need a cost estimate for the project. (Chúng ta cần ước tính chi phí cho dự án),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
revise / /rɪ'vaɪz/,Sửa đổi,v,Please revise the report before submitting. (Hãy sửa lại báo cáo trước khi nộp),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
unfortunately / /ʌn'fɔː.tʃən.ət.li/,Không may thay,adv,"Unfortunately, the flight was delayed. (Thật không may, chuyến bay bị hoãn)",,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
appointment / /ə'pɔɪnt.mənt/,Lịch hẹn,n,I have a doctor’s appointment at 4 PM. (Tôi có lịch hẹn bác sĩ lúc 4 giờ),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
instruction / /'ɪn.strʌk.ʃən/,Sự hướng dẫn,n,Please follow all instructions carefully. (Hãy làm theo hướng dẫn cẩn thận),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
rack / /ræk/,Giá đỡ,n,Put the books on the rack. (Đặt sách lên giá đỡ),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
adjust / /ə'dʒʌst/,Điều chỉnh,v,You should adjust the settings. (Bạn nên điều chỉnh cài đặt),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
determine / /dɪ'tɜː.mɪn/,Xác định,v,We need to determine the cause. (Chúng ta cần xác định nguyên nhân),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
reasonable / /'riː.zən.ə.bəl/,Hợp lý,adj,The price is reasonable. (Giá cả hợp lý),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
production / /prə'dʌk.ʃən/,Sự sản xuất,n,Production will increase next year. (Sản xuất sẽ tăng vào năm sau),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
prototype / /'prəʊ.tə.taɪp/,Nguyên mẫu,n,They created a prototype of the new device. (Họ đã tạo một nguyên mẫu cho thiết bị mới),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
persuade / /pə'sweɪd/,Thuyết phục,v,He persuaded her to join the team. (Anh ấy thuyết phục cô ấy tham gia nhóm),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
inexpensive / /ˌɪn.ɪk'spen.sɪv/,Không đắt tiền,adj,This restaurant is inexpensive and delicious. (Nhà hàng này rẻ và ngon),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
assemble / /ə'sem.bəl/,Lắp ráp,v,We need to assemble the furniture. (Chúng ta cần lắp ráp đồ nội thất),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
issue / /'ɪʃ.uː/,Vấn đề / ban hành,n/v,The manager issued a new policy. (Quản lý ban hành một chính sách mới),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
evaluate / /ɪ'væl.ju.eɪt/,Đánh giá,v,We must evaluate the results. (Chúng ta phải đánh giá kết quả),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
head over to / ,Đi đến,v,We will head over to the venue soon. (Chúng ta sẽ đi đến địa điểm sớm),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
accountant / /ə'kaʊn.tənt/,Kế toán,n,The accountant checked all financial records. (Kế toán kiểm tra toàn bộ hồ sơ tài chính),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
retirement / /rɪ'taɪə.mənt/,Sự nghỉ hưu,n,He is planning for his retirement. (Ông ấy đang lập kế hoạch nghỉ hưu),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
celebrate / /'sel.ə.breɪt/,Ăn mừng,v,We celebrated his birthday yesterday. (Chúng tôi đã tổ chức sinh nhật cho anh ấy hôm qua),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
former / /'fɔː.mər/,Trước,adj,She met her former boss at the event. (Cô ấy gặp sếp cũ tại sự kiện),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
colleague / /'kɒl.iːɡ/,Đồng nghiệp,n,My colleagues are very supportive. (Đồng nghiệp của tôi rất hỗ trợ),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
distribute / /'dɪs.trɪ.bjuːt/,Phân phối,v,They distribute food to the needy. (Họ phân phát thức ăn cho người nghèo),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
urgent / /'ɜː.dʒənt/,Khẩn cấp,adj,This is an urgent matter. (Đây là vấn đề khẩn cấp),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
fully equipped / /'fʊl.i ɪ'kwɪpt/,Được trang bị đầy đủ,adj,The room is fully equipped with modern devices. (Phòng được trang bị đầy đủ thiết bị hiện đại),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
capability / /ˌkeɪ.pə'bɪl.ɪ.ti/,Năng lực,n,She has the capability to lead. (Cô ấy có năng lực lãnh đạo),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
novelty / /'nɒv.əl.ti/,Tính mới lạ,n,The novelty of the idea impressed everyone. (Sự mới lạ của ý tưởng khiến mọi người ấn tượng),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
in time / ,Kịp giờ,adv,He arrived just in time. (Anh ấy đến vừa kịp giờ),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
notification / /ˌnəʊ.tɪ.fɪ'keɪ.ʃən/,Thông báo,n,You will receive a notification soon. (Bạn sẽ sớm nhận được thông báo),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
qualified / /'kwɒl.ɪ.faɪd/,Đủ tiêu chuẩn,adj,She is qualified for the job. (Cô ấy đủ tiêu chuẩn cho công việc),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
procedure / /prə'siː.dʒər/,Quy trình,n,Please follow the safety procedure. (Hãy tuân thủ quy trình an toàn),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
investigate / /ɪn'ves.tɪ.ɡeɪt/,Điều tra,v,The police are investigating the case. (Cảnh sát đang điều tra vụ việc),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
alert / /ə'lɜːt/,Tỉnh táo / cảnh báo,adj/v,Stay alert while driving. (Hãy tỉnh táo khi lái xe),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
affordable / /ə'fɔː.də.bəl/,Có giá phải chăng,adj,The hotel is affordable for travelers. (Khách sạn có giá phải chăng),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
dedication / /ˌded.ɪ'keɪ.ʃən/,Sự tận tâm,n,Her dedication to work is admirable. (Sự tận tâm của cô ấy thật đáng ngưỡng mộ),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
operate / /'ɒp.ə.reɪt/,Vận hành,v,The machine operates smoothly. (Máy vận hành trơn tru),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
obtain / /əb'teɪn/,Có được,v,You need a license to obtain this document. (Bạn cần giấy phép để có được tài liệu này),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
open house / /ˈəʊ.pən haʊs/,Ngày mở cửa tham quan,n,The university is holding an open house this weekend. (Trường đại học sẽ tổ chức ngày tham quan cuối tuần này),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
frequent / /'friː.kwənt/,Thường xuyên,adj,He is a frequent visitor here. (Anh ấy là khách thường xuyên ở đây),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
commercial / /kə'mɜː.ʃəl/,Mang tính thương mại,adj,They produced a commercial video. (Họ sản xuất một video quảng cáo),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
landscape / /'lænd.skeɪp/,Tạo cảnh quan,v,They landscaped the garden beautifully. (Họ tạo cảnh quan khu vườn rất đẹp),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
productivity / /ˌprɒd.ʌk'tɪv.ɪ.ti/,Năng suất,n,Improving productivity is essential. (Cải thiện năng suất là rất cần thiết),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
vary / /'veə.ri/,Thay đổi,khác nhau,v,,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
grant / /ɡrɑːnt/,Cấp / Tiền trợ cấp,v/n,They granted him permission. (Họ cấp phép cho anh ấy),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
concourse / /'kɒn.kɔːs/,Hội trường,n,The event was held in the main concourse. (Sự kiện được tổ chức tại hội trường chính),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
nutritional / /njuː' trɪʃ.ən.əl/,Thuộc dinh dưỡng,adj,The meal has high nutritional value. (Bữa ăn có giá trị dinh dưỡng cao),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng NGHE (P3) Cô Mai Phương,https://luyentu.com/words
insert / /In's3:t/,chèn,verb,Please insert the key into the lock. (Vui lòng chèn chìa khóa vào ổ khóa.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
arrange / /ǝ'rend3/,sắp xếp,verb,They will arrange the chairs for the meeting. (Họ sẽ xếp ghế cho cuộc họp.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
discard / /dr'ska:d/,"vứt, bỏ",verb,He decided to discard the old clothes. (Anh ấy quyết định bỏ đi quần áo cũ.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
empty / /'emp.ti/,"trống, làm trống, đổ hết ra",adj/v,The box is empty. (Hộp trống.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
scatter / /'skæt.ǝr/,"phân tán, vứt rải rác",verb,The children scatter leaves in the yard. (Trẻ em rải lá trong sân.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
canopy / /'kæn.ǝ.pi/,mái che,noun,The canopy protected us from the rain. (Mái che đã bảo vệ chúng tôi khỏi mưa.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
display / /dr'spler/,"trưng bày, trình chiếu",verb,The museum will display new artifacts. (Bảo tàng sẽ trưng bày các hiện vật mới.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
budget / /'bʌd3.It/,ngân sách,noun,The company set a new budget for the project. (Công ty đã đặt ngân sách mới cho dự án.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
main branch / /men.bra:ntf/,chi nhánh chính,noun phrase,He works at the main branch downtown. (Anh ấy làm việc tại chi nhánh chính ở trung tâm thành phố.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
appointment / /ə'pɔınt.mənt/,cuộc hẹn,noun,She has an appointment with the doctor tomorrow. (Cô ấy có cuộc hẹn với bác sĩ vào ngày mai.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
stop by / ,ghé ngang,phrase,I'll stop by your office later. (Tôi sẽ ghé qua văn phòng của bạn sau.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
make it / ,làm được,phrase,"With enough effort, you can make it. (Với đủ cố gắng, bạn có thể làm được.)",,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
fill the position / ,tuyển được người để lấp vào vị trí,phrase,They are trying to fill the position quickly. (Họ đang cố gắng tuyển người cho vị trí đó nhanh chóng.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
innovative / /'n.e.ve.tv/,có tính đổi mới,adjective,She has an innovative approach to teaching. (Cô ấy có cách tiếp cận đổi mới trong giảng dạy.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
feature / /'fi:.tfər/,đặc điểm,noun,This phone's main feature is its camera. (Đặc điểm chính của chiếc điện thoại này là camera của nó.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
revise / /rı'vaız/,sửa đổi,verb,You should revise your report before submitting. (Bạn nên sửa đổi báo cáo của mình trước khi nộp.),,Sửa từXóa từ,TOEIC: 80 từ kỹ năng nghe (P2) Cô Mai Phương,https://luyentu.com/words
