word,pronunciation,meaning,word_type,example,topic
thừa thãi,,,,,Từ vựng kỹ năng Đọc - Phần 1
điều khoản,,,,,Từ vựng kỹ năng Đọc - Phần 1
khoản vay,,,,,Từ vựng kỹ năng Đọc - Phần 1
vật liệu,,,,,Từ vựng kỹ năng Đọc - Phần 1
"chủ nhà, người tổ chức",,,,,Từ vựng kỹ năng Đọc - Phần 1
đóng góp,,,,,Từ vựng kỹ năng Đọc - Phần 1
lên kế hoạch,,,,,Từ vựng kỹ năng Đọc - Phần 1
đề xuất,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự đổi mới,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự phê bình,,,,,Từ vựng kỹ năng Đọc - Phần 1
"phương pháp, tiếp cận",,,,,Từ vựng kỹ năng Đọc - Phần 1
hết hạn,,,,,Từ vựng kỹ năng Đọc - Phần 1
gia hạn,,,,,Từ vựng kỹ năng Đọc - Phần 1
chuyên nghiệp,,,,,Từ vựng kỹ năng Đọc - Phần 1
soạn thảo,,,,,Từ vựng kỹ năng Đọc - Phần 1
bên ngoài,,,,,Từ vựng kỹ năng Đọc - Phần 1
cao cấp hơn,,,,,Từ vựng kỹ năng Đọc - Phần 1
thành phần,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự mất mát,,,,,Từ vựng kỹ năng Đọc - Phần 1
lắp ráp,,,,,Từ vựng kỹ năng Đọc - Phần 1
bề mặt,,,,,Từ vựng kỹ năng Đọc - Phần 1
đạt được,,,,,Từ vựng kỹ năng Đọc - Phần 1
"tham khảo, thư giới thiệu, chứng thực",,,,,Từ vựng kỹ năng Đọc - Phần 1
gạch dưới,,,,,Từ vựng kỹ năng Đọc - Phần 1
mở rộng,,,,,Từ vựng kỹ năng Đọc - Phần 1
liền kề,,,,,Từ vựng kỹ năng Đọc - Phần 1
cải tạo,,,,,Từ vựng kỹ năng Đọc - Phần 1
cung cấp chỗ ở,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự tụ họp,,,,,Từ vựng kỹ năng Đọc - Phần 1
cách mạng hóa,,,,,Từ vựng kỹ năng Đọc - Phần 1
cư dân,,,,,Từ vựng kỹ năng Đọc - Phần 1
trước,,,,,Từ vựng kỹ năng Đọc - Phần 1
đặt trước,,,,,Từ vựng kỹ năng Đọc - Phần 1
chỉ,,,,,Từ vựng kỹ năng Đọc - Phần 1
quỹ,,,,,Từ vựng kỹ năng Đọc - Phần 1
tổ chức,,,,,Từ vựng kỹ năng Đọc - Phần 1
lĩnh vực,,,,,Từ vựng kỹ năng Đọc - Phần 1
đáng kể,,,,,Từ vựng kỹ năng Đọc - Phần 1
"thu hoạch, mùa thu hoạch",,,,,Từ vựng kỹ năng Đọc - Phần 1
sự hiểu biết sâu sắc,,,,,Từ vựng kỹ năng Đọc - Phần 1
thường xuyên,,,,,Từ vựng kỹ năng Đọc - Phần 1
"sắp xếp, bố trí nhân viên",,,,,Từ vựng kỹ năng Đọc - Phần 1
nổi bật,,,,,Từ vựng kỹ năng Đọc - Phần 1
dự đoán,,,,,Từ vựng kỹ năng Đọc - Phần 1
kỳ vọng,,,,,Từ vựng kỹ năng Đọc - Phần 1
chấp nhận,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự trục trặc,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự hủy bỏ,,,,,Từ vựng kỹ năng Đọc - Phần 1
lời xin lỗi,,,,,Từ vựng kỹ năng Đọc - Phần 1
nhà phân phối,,,,,Từ vựng kỹ năng Đọc - Phần 1
đính kèm,,,,,Từ vựng kỹ năng Đọc - Phần 1
hóa đơn,,,,,Từ vựng kỹ năng Đọc - Phần 1
tự động,,,,,Từ vựng kỹ năng Đọc - Phần 1
nguồn cung cấp,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự chuyển tiếp,,,,,Từ vựng kỹ năng Đọc - Phần 1
điều tra,,,,,Từ vựng kỹ năng Đọc - Phần 1
việc làm,,,,,Từ vựng kỹ năng Đọc - Phần 1
sự xây dựng,,,,,Từ vựng kỹ năng Đọc - Phần 1
thu thập,,,,,Từ vựng kỹ năng Đọc - Phần 3
lịch sự,,,,,Từ vựng kỹ năng Đọc - Phần 3
yêu cầu,,,,,Từ vựng kỹ năng Đọc - Phần 3
hiện tại,,,,,Từ vựng kỹ năng Đọc - Phần 3
"liên kết, cộng sự",,,,,Từ vựng kỹ năng Đọc - Phần 3
"lo ngại, quan tâm",,,,,Từ vựng kỹ năng Đọc - Phần 3
thủ tục,,,,,Từ vựng kỹ năng Đọc - Phần 3
"bản phác thảo, đề cương",,,,,Từ vựng kỹ năng Đọc - Phần 3
bắt đầu,,,,,Từ vựng kỹ năng Đọc - Phần 3
cho đến nay,,,,,Từ vựng kỹ năng Đọc - Phần 3
tham vọng,,,,,Từ vựng kỹ năng Đọc - Phần 3
"phát hành, sự phát hành",,,,,Từ vựng kỹ năng Đọc - Phần 3
sâu sắc,,,,,Từ vựng kỹ năng Đọc - Phần 3
quá mức,,,,,Từ vựng kỹ năng Đọc - Phần 3
mãnh liệt,,,,,Từ vựng kỹ năng Đọc - Phần 3
sự hợp tác,,,,,Từ vựng kỹ năng Đọc - Phần 3
sự trở lại,,,,,Từ vựng kỹ năng Đọc - Phần 3
sự sao chép,,,,,Từ vựng kỹ năng Đọc - Phần 3
doanh thu,,,,,Từ vựng kỹ năng Đọc - Phần 3
địa điểm,,,,,Từ vựng kỹ năng Đọc - Phần 3
sự cải tạo,,,,,Từ vựng kỹ năng Đọc - Phần 3
người đấu giá,,,,,Từ vựng kỹ năng Đọc - Phần 3
trong khi,,,,,Từ vựng kỹ năng Đọc - Phần 3
thay thế,,,,,Từ vựng kỹ năng Đọc - Phần 3
chắc chắn,,,,,Từ vựng kỹ năng Đọc - Phần 3
trách nhiệm,,,,,Từ vựng kỹ năng Đọc - Phần 3
di dời,,,,,Từ vựng kỹ năng Đọc - Phần 3
theo báo cáo,,,,,Từ vựng kỹ năng Đọc - Phần 3
thuê,,,,,Từ vựng kỹ năng Đọc - Phần 3
"quy trình, xử lý",,,,,Từ vựng kỹ năng Đọc - Phần 3
thi hành,,,,,Từ vựng kỹ năng Đọc - Phần 3
mở rộng,,,,,Từ vựng kỹ năng Đọc - Phần 3
"áp dụng, ứng tuyển",,,,,Từ vựng kỹ năng Đọc - Phần 3
độ sâu,,,,,Từ vựng kỹ năng Đọc - Phần 3
sâu sắc,,,,,Từ vựng kỹ năng Đọc - Phần 3
cây con,,,,,Từ vựng kỹ năng Đọc - Phần 3
nhẹ nhàng,,,,,Từ vựng kỹ năng Đọc - Phần 3
thu thập,,,,,Từ vựng kỹ năng Đọc - Phần 3
"hoạt động, phẫu thuật",,,,,Từ vựng kỹ năng Đọc - Phần 3
ngân sách,,,,,Từ vựng kỹ năng Đọc - Phần 3
bảo hành,,,,,Từ vựng kỹ năng Đọc - Phần 3
ấn tượng,,,,,Từ vựng kỹ năng Đọc - Phần 3
sự bảo trợ,,,,,Từ vựng kỹ năng Đọc - Phần 3
chân thành,,,,,Từ vựng kỹ năng Đọc - Phần 3
"xứng đáng, đúng đắn",,,,,Từ vựng kỹ năng Đọc - Phần 3
"phổ biến, thông thường",,,,,Từ vựng kỹ năng Đọc - Phần 3
dễ vỡ,,,,,Từ vựng kỹ năng Đọc - Phần 3
"lưu trữ, cửa hàng",,,,,Từ vựng kỹ năng Đọc - Phần 3
"đảm bảo, an toàn",,,,,Từ vựng kỹ năng Đọc - Phần 3
cho tới sau khi,,,,,Từ vựng kỹ năng Đọc - Phần 3
"đăng cai, chủ nhà",,,,,Từ vựng kỹ năng Đọc - Phần 3
xác thực,,,,,Từ vựng kỹ năng Đọc - Phần 3
"đối diện, điều trái ngược",,,,,Từ vựng kỹ năng Đọc - Phần 3
thuộc vùng,,,,,Từ vựng kỹ năng Đọc - Phần 3
sự tăng vọt lên,,,,,Từ vựng kỹ năng Đọc - Phần 3
"nhu cầu, đòi hỏi",,,,,Từ vựng kỹ năng Đọc - Phần 3
"cao cấp, cao niên",,,,,Từ vựng kỹ năng Đọc - Phần 3
thay thế,,,,,Từ vựng kỹ năng Đọc - Phần 3
chiến lược,,,,,Từ vựng kỹ năng Đọc - Phần 3
thực hành,,,,,Từ vựng kỹ năng Đọc - Phần 3
linh hoạt,,,,,Từ vựng kỹ năng Đọc - Phần 3
"xen kẹ, thay phiên",,,,,Từ vựng kỹ năng Đọc - Phần 3
sự thay thế,,,,,Từ vựng kỹ năng Đọc - Phần 3
sự sáng tạo,,,,,Từ vựng kỹ năng Đọc - Phần 3
nâng cao,,,,,Từ vựng kỹ năng Đọc - Phần 3
thay mặt ai,,,,,Từ vựng kỹ năng Đọc - Phần 3
cư trú,,,,,Từ vựng kỹ năng Đọc - Phần 3
sắp xếp,,,,,Từ vựng kỹ năng Đọc - Phần 3
phân phối,,,,,Từ vựng kỹ năng Đọc - Phần 3
bổ sung,,,,,Từ vựng kỹ năng Đọc - Phần 3
người nhận,,,,,Từ vựng kỹ năng Đọc - Phần 3
góc nhìn,,,,,Từ vựng kỹ năng Đọc - Phần 3
đáng giá,,,,,Từ vựng kỹ năng Đọc - Phần 3
năng suất,,,,,Từ vựng kỹ năng Đọc - Phần 3
dùng một lần,,,,,Từ vựng kỹ năng Đọc - Phần 3
dự án,,,,,Từ vựng kỹ năng Đọc - Phần 3
chú ý đến,,,,,Từ vựng kỹ năng Đọc - Phần 3
cấu trúc,,,,,Từ vựng kỹ năng Đọc - Phần 3
"trao đổi thư từ, giống với",,,,,Từ vựng kỹ năng Đọc - Phần 3
từ,,,,,Từ vựng kỹ năng Đọc - Phần 3
Loại bỏ,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tràn,,,,,Từ vựng kỹ năng Nghe - Phần 3
Lan can,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sắp xếp,,,,,Từ vựng kỹ năng Nghe - Phần 3
Hết hàng,,,,,Từ vựng kỹ năng Nghe - Phần 3
Được lên lịch làm gì,,,,,Từ vựng kỹ năng Nghe - Phần 3
Yêu cầu,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sạc / Phí,,,,,Từ vựng kỹ năng Nghe - Phần 3
Người giám sát,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thu hoạch,,,,,Từ vựng kỹ năng Nghe - Phần 3
Minh họa,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thích hơn,,,,,Từ vựng kỹ năng Nghe - Phần 3
Lối đi,,,,,Từ vựng kỹ năng Nghe - Phần 3
Một cách chính thức,,,,,Từ vựng kỹ năng Nghe - Phần 3
Quyên góp,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tổ chức,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tổ chức,,,,,Từ vựng kỹ năng Nghe - Phần 3
Mở rộng,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tạo,,,,,Từ vựng kỹ năng Nghe - Phần 3
Ứng dụng,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sự đăng ký,,,,,Từ vựng kỹ năng Nghe - Phần 3
Người tham gia,,,,,Từ vựng kỹ năng Nghe - Phần 3
Ấn tượng,,,,,Từ vựng kỹ năng Nghe - Phần 3
Số người tham dự,,,,,Từ vựng kỹ năng Nghe - Phần 3
Một cách chắc chắn,,,,,Từ vựng kỹ năng Nghe - Phần 3
Nhiều,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tinh giản,,,,,Từ vựng kỹ năng Nghe - Phần 3
Cụ thể,,,,,Từ vựng kỹ năng Nghe - Phần 3
Người điều hành,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thuộc quản trị,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sự đầu tư,,,,,Từ vựng kỹ năng Nghe - Phần 3
Ước tính chi phí,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sửa đổi,,,,,Từ vựng kỹ năng Nghe - Phần 3
Không may thay,,,,,Từ vựng kỹ năng Nghe - Phần 3
Lịch hẹn,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sự hướng dẫn,,,,,Từ vựng kỹ năng Nghe - Phần 3
Giá đỡ,,,,,Từ vựng kỹ năng Nghe - Phần 3
Điều chỉnh,,,,,Từ vựng kỹ năng Nghe - Phần 3
Xác định,,,,,Từ vựng kỹ năng Nghe - Phần 3
Hợp lý,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sự sản xuất,,,,,Từ vựng kỹ năng Nghe - Phần 3
Nguyên mẫu,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thuyết phục,,,,,Từ vựng kỹ năng Nghe - Phần 3
Không đắt tiền,,,,,Từ vựng kỹ năng Nghe - Phần 3
Lắp ráp,,,,,Từ vựng kỹ năng Nghe - Phần 3
Vấn đề / ban hành,,,,,Từ vựng kỹ năng Nghe - Phần 3
Đánh giá,,,,,Từ vựng kỹ năng Nghe - Phần 3
Đi đến,,,,,Từ vựng kỹ năng Nghe - Phần 3
Kế toán,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sự nghỉ hưu,,,,,Từ vựng kỹ năng Nghe - Phần 3
Ăn mừng,,,,,Từ vựng kỹ năng Nghe - Phần 3
Trước,,,,,Từ vựng kỹ năng Nghe - Phần 3
Đồng nghiệp,,,,,Từ vựng kỹ năng Nghe - Phần 3
Phân phối,,,,,Từ vựng kỹ năng Nghe - Phần 3
Khẩn cấp,,,,,Từ vựng kỹ năng Nghe - Phần 3
Được trang bị đầy đủ,,,,,Từ vựng kỹ năng Nghe - Phần 3
Năng lực,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tính mới lạ,,,,,Từ vựng kỹ năng Nghe - Phần 3
Kịp giờ,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thông báo,,,,,Từ vựng kỹ năng Nghe - Phần 3
Đủ tiêu chuẩn,,,,,Từ vựng kỹ năng Nghe - Phần 3
Quy trình,,,,,Từ vựng kỹ năng Nghe - Phần 3
Điều tra,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tỉnh táo / cảnh báo,,,,,Từ vựng kỹ năng Nghe - Phần 3
Có giá phải chăng,,,,,Từ vựng kỹ năng Nghe - Phần 3
Sự tận tâm,,,,,Từ vựng kỹ năng Nghe - Phần 3
Vận hành,,,,,Từ vựng kỹ năng Nghe - Phần 3
Có được,,,,,Từ vựng kỹ năng Nghe - Phần 3
Ngày mở cửa tham quan,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thường xuyên,,,,,Từ vựng kỹ năng Nghe - Phần 3
Mang tính thương mại,,,,,Từ vựng kỹ năng Nghe - Phần 3
Tạo cảnh quan,,,,,Từ vựng kỹ năng Nghe - Phần 3
Năng suất,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thay đổi,,,,,Từ vựng kỹ năng Nghe - Phần 3
Cấp / Tiền trợ cấp,,,,,Từ vựng kỹ năng Nghe - Phần 3
Hội trường,,,,,Từ vựng kỹ năng Nghe - Phần 3
Thuộc dinh dưỡng,,,,,Từ vựng kỹ năng Nghe - Phần 3
chèn,,,,,Từ vựng kỹ năng Nghe - Phần 2
sắp xếp,,,,,Từ vựng kỹ năng Nghe - Phần 2
"vứt, bỏ",,,,,Từ vựng kỹ năng Nghe - Phần 2
"trống, làm trống, đổ hết ra",,,,,Từ vựng kỹ năng Nghe - Phần 2
"phân tán, vứt rải rác",,,,,Từ vựng kỹ năng Nghe - Phần 2
mái che,,,,,Từ vựng kỹ năng Nghe - Phần 2
"trưng bày, trình chiếu",,,,,Từ vựng kỹ năng Nghe - Phần 2
ngân sách,,,,,Từ vựng kỹ năng Nghe - Phần 2
chi nhánh chính,,,,,Từ vựng kỹ năng Nghe - Phần 2
cuộc hẹn,,,,,Từ vựng kỹ năng Nghe - Phần 2
ghé ngang,,,,,Từ vựng kỹ năng Nghe - Phần 2
làm được,,,,,Từ vựng kỹ năng Nghe - Phần 2
tuyển được người để lấp vào vị trí,,,,,Từ vựng kỹ năng Nghe - Phần 2
có tính đổi mới,,,,,Từ vựng kỹ năng Nghe - Phần 2
đặc điểm,,,,,Từ vựng kỹ năng Nghe - Phần 2
sửa đổi,,,,,Từ vựng kỹ năng Nghe - Phần 2
bảo hành,,,,,Từ vựng kỹ năng Nghe - Phần 2
tài sản,,,,,Từ vựng kỹ năng Nghe - Phần 2
sự xác nhận,,,,,Từ vựng kỹ năng Nghe - Phần 2
tránh,,,,,Từ vựng kỹ năng Nghe - Phần 2
sự mất điện,,,,,Từ vựng kỹ năng Nghe - Phần 2
xay ra,,,,,Từ vựng kỹ năng Nghe - Phần 2
không có sẵn,,,,,Từ vựng kỹ năng Nghe - Phần 2
không chính xác,,,,,Từ vựng kỹ năng Nghe - Phần 2
một cách chắc chắn,,,,,Từ vựng kỹ năng Nghe - Phần 2
đạt được,,,,,Từ vựng kỹ năng Nghe - Phần 2
đáng kể,,,,,Từ vựng kỹ năng Nghe - Phần 2
"sự khôi phục, sự phục hồi",,,,,Từ vựng kỹ năng Nghe - Phần 2
tuyệt đẹp,,,,,Từ vựng kỹ năng Nghe - Phần 2
tiết lộ,,,,,Từ vựng kỹ năng Nghe - Phần 2
ngày kỷ niệm,,,,,Từ vựng kỹ năng Nghe - Phần 2
không trang trọng,,,,,Từ vựng kỹ năng Nghe - Phần 2
thuộc dược,,,,,Từ vựng kỹ năng Nghe - Phần 2
bền,,,,,Từ vựng kỹ năng Nghe - Phần 2
nhà sản xuất,,,,,Từ vựng kỹ năng Nghe - Phần 2
có tính bắt buộc,,,,,Từ vựng kỹ năng Nghe - Phần 2
toàn bộ,,,,,Từ vựng kỹ năng Nghe - Phần 2
tiển tài trợ,,,,,Từ vựng kỹ năng Nghe - Phần 2
"kéo dài, gia hạn",,,,,Từ vựng kỹ năng Nghe - Phần 2
sự hỗ trợ,,,,,Từ vựng kỹ năng Nghe - Phần 2
ứng tuyển cái gì,,,,,Từ vựng kỹ năng Nghe - Phần 2
"trợ cấp, tiền trợ cấp",,,,,Từ vựng kỹ năng Nghe - Phần 2
phân khúc,,,,,Từ vựng kỹ năng Nghe - Phần 2
hiện đại nhất,,,,,Từ vựng kỹ năng Nghe - Phần 2
vận động viên,,,,,Từ vựng kỹ năng Nghe - Phần 2
cạnh tranh,,,,,Từ vựng kỹ năng Nghe - Phần 2
"hài lòng, vui vẻ",,,,,Từ vựng kỹ năng Nghe - Phần 2
"viện, cơ sở",,,,,Từ vựng kỹ năng Nghe - Phần 2
sáng kiến,,,,,Từ vựng kỹ năng Nghe - Phần 2
"gìn giữ, bảo vệ",,,,,Từ vựng kỹ năng Nghe - Phần 2
phân bổ,,,,,Từ vựng kỹ năng Nghe - Phần 2
sơ bộ,,,,,Từ vựng kỹ năng Nghe - Phần 2
"phát hiện, thông tin tìm được",,,,,Từ vựng kỹ năng Nghe - Phần 2
công việc dự báo,,,,,Từ vựng kỹ năng Nghe - Phần 2
tùy chỉnh,,,,,Từ vựng kỹ năng Nghe - Phần 2
cấy ghép,,,,,Từ vựng kỹ năng Nghe - Phần 2
"nhiều, đa dạng",,,,,Từ vựng kỹ năng Nghe - Phần 2
cư dân,,,,,Từ vựng kỹ năng Nghe - Phần 2
sự quảng bá,,,,,Từ vựng kỹ năng Nghe - Phần 2
điền vào (đơn từ),,,,,Từ vựng kỹ năng Nghe - Phần 2
biên lai,,,,,Từ vựng kỹ năng Nghe - Phần 2
"đính hôn, thu hút, thuê tuyển",,,,,Từ vựng kỹ năng Nghe - Phần 2
cư trú,,,,,Từ vựng kỹ năng Nghe - Phần 2
sự kích thích,,,,,Từ vựng kỹ năng Nghe - Phần 2
người đại diện,,,,,Từ vựng kỹ năng Nghe - Phần 2
sự cho phép,,,,,Từ vựng kỹ năng Nghe - Phần 2
được chứng nhận,,,,,Từ vựng kỹ năng Nghe - Phần 2
xác định,,,,,Từ vựng kỹ năng Nghe - Phần 2
sắp tới,,,,,Từ vựng kỹ năng Nghe - Phần 2
"có thể dựa vào, đáng tin cậy",,,,,Từ vựng kỹ năng Nghe - Phần 2
lời nhắc,,,,,Từ vựng kỹ năng Nghe - Phần 2
xung quanh,,,,,Từ vựng kỹ năng Nghe - Phần 2
sự phản đối,,,,,Từ vựng kỹ năng Nghe - Phần 2
điều chỉnh,,,,,Từ vựng kỹ năng Nghe - Phần 2
biện minh,,,,,Từ vựng kỹ năng Nghe - Phần 2
đánh giá khen ngợi,,,,,Từ vựng kỹ năng Nghe - Phần 2
dinh dưỡng,,,,,Từ vựng kỹ năng Nghe - Phần 2
"chi trích, phê bình",,,,,Từ vựng kỹ năng Nghe - Phần 2
sự bất tiện,,,,,Từ vựng kỹ năng Nghe - Phần 2
dự đoán,,,,,Từ vựng kỹ năng Nghe - Phần 2
xếp hàng,,,,,Từ vựng kỹ năng Nghe - Phần 1
"lau sạch, lau cởi",,,,,Từ vựng kỹ năng Nghe - Phần 1
vứt bỏ,,,,,Từ vựng kỹ năng Nghe - Phần 1
"xẻng, xúc",,,,,Từ vựng kỹ năng Nghe - Phần 1
sắp xếp lại,,,,,Từ vựng kỹ năng Nghe - Phần 1
phương tiện,,,,,Từ vựng kỹ năng Nghe - Phần 1
giá đỡ,,,,,Từ vựng kỹ năng Nghe - Phần 1
"chồng, đống",,,,,Từ vựng kỹ năng Nghe - Phần 1
quét,,,,,Từ vựng kỹ năng Nghe - Phần 1
vật liệu,,,,,Từ vựng kỹ năng Nghe - Phần 1
"đa số, hầu hết",,,,,Từ vựng kỹ năng Nghe - Phần 1
khách thuê,,,,,Từ vựng kỹ năng Nghe - Phần 1
"người bán, nhà cung cấp",,,,,Từ vựng kỹ năng Nghe - Phần 1
sự bảo trì,,,,,Từ vựng kỹ năng Nghe - Phần 1
nhân sự,,,,,Từ vựng kỹ năng Nghe - Phần 1
bộ phận,,,,,Từ vựng kỹ năng Nghe - Phần 1
"hành lang, lối đi",,,,,Từ vựng kỹ năng Nghe - Phần 1
đạt được,,,,,Từ vựng kỹ năng Nghe - Phần 1
"hóa ra, có mặt tại một sự kiện",,,,,Từ vựng kỹ năng Nghe - Phần 1
có sẵn,,,,,Từ vựng kỹ năng Nghe - Phần 1
nguyên mẫu,,,,,Từ vựng kỹ năng Nghe - Phần 1
đề cử,,,,,Từ vựng kỹ năng Nghe - Phần 1
tổ chức,,,,,Từ vựng kỹ năng Nghe - Phần 1
sự kê đơn,,,,,Từ vựng kỹ năng Nghe - Phần 1
người gây quỹ,,,,,Từ vựng kỹ năng Nghe - Phần 1
hàng hóa,,,,,Từ vựng kỹ năng Nghe - Phần 1
việc kế toán,,,,,Từ vựng kỹ năng Nghe - Phần 1
hóa đơn,,,,,Từ vựng kỹ năng Nghe - Phần 1
"cấp quyền, trao quyền",,,,,Từ vựng kỹ năng Nghe - Phần 1
vắng mặt,,,,,Từ vựng kỹ năng Nghe - Phần 1
không có gì thú vị xảy ra,,,,,Từ vựng kỹ năng Nghe - Phần 1
chậm tiến độ,,,,,Từ vựng kỹ năng Nghe - Phần 1
sự hiếu khách,,,,,Từ vựng kỹ năng Nghe - Phần 1
khí tượng học,,,,,Từ vựng kỹ năng Nghe - Phần 1
tem,,,,,Từ vựng kỹ năng Nghe - Phần 1
sự nghỉ hưu,,,,,Từ vựng kỹ năng Nghe - Phần 1
đàm phán,,,,,Từ vựng kỹ năng Nghe - Phần 1
giám sát,,,,,Từ vựng kỹ năng Nghe - Phần 1
sự sáp nhập,,,,,Từ vựng kỹ năng Nghe - Phần 1
việc được giao,,,,,Từ vựng kỹ năng Nghe - Phần 1
"nhắc đến, đề cập",,,,,Từ vựng kỹ năng Nghe - Phần 1
không hoạt động,,,,,Từ vựng kỹ năng Nghe - Phần 1
"chứng minh, minh họa",,,,,Từ vựng kỹ năng Nghe - Phần 1
"nhỏ gọn, gọn nhẹ",,,,,Từ vựng kỹ năng Nghe - Phần 1
sự đăng ký,,,,,Từ vựng kỹ năng Nghe - Phần 1
sự giảm,,,,,Từ vựng kỹ năng Nghe - Phần 1
nguyên liệu,,,,,Từ vựng kỹ năng Nghe - Phần 1
toàn bộ,,,,,Từ vựng kỹ năng Nghe - Phần 1
sự điều tra,,,,,Từ vựng kỹ năng Nghe - Phần 1
thiếu,,,,,Từ vựng kỹ năng Nghe - Phần 1
đủ điều kiện,,,,,Từ vựng kỹ năng Nghe - Phần 1
"sở thích, thị hiếu",,,,,Từ vựng kỹ năng Nghe - Phần 1
sáng kiến,,,,,Từ vựng kỹ năng Nghe - Phần 1
tránh,,,,,Từ vựng kỹ năng Nghe - Phần 1
sự cấp giấy chứng nhận,,,,,Từ vựng kỹ năng Nghe - Phần 1
thường niên,,,,,Từ vựng kỹ năng Nghe - Phần 1
người hiến tặng,,,,,Từ vựng kỹ năng Nghe - Phần 1
không may là,,,,,Từ vựng kỹ năng Nghe - Phần 1
"gỡ bỏ, loại bỏ",,,,,Từ vựng kỹ năng Nghe - Phần 1
liếc nhìn,,,,,Từ vựng kỹ năng Nghe - Phần 1
"phân công, giao việc",,,,,Từ vựng kỹ năng Nghe - Phần 1
họp báo,,,,,Từ vựng kỹ năng Nghe - Phần 1
quan trọng,,,,,Từ vựng kỹ năng Nghe - Phần 1
tập hợp,,,,,Từ vựng kỹ năng Nghe - Phần 1
cơ hội,,,,,Từ vựng kỹ năng Nghe - Phần 1
sức chứa,,,,,Từ vựng kỹ năng Nghe - Phần 1
liền kề,,,,,Từ vựng kỹ năng Nghe - Phần 1
liền kề với,,,,,Từ vựng kỹ năng Nghe - Phần 1
chỉ định,,,,,Từ vựng kỹ năng Nghe - Phần 1
"luân phiên, xen kẽ",,,,,Từ vựng kỹ năng Nghe - Phần 1
đặc điểm,,,,,Từ vựng kỹ năng Nghe - Phần 1
tiền thu được,,,,,Từ vựng kỹ năng Nghe - Phần 1
đồ ăn thức uống,,,,,Từ vựng kỹ năng Nghe - Phần 1
"chỉ đến, đề cập tới",,,,,Từ vựng kỹ năng Nghe - Phần 1
diễn giả khách mời,,,,,Từ vựng kỹ năng Nghe - Phần 1
"khám phá, phát hiện",,,,,Từ vựng kỹ năng Nghe - Phần 1
phức tạp,,,,,Từ vựng kỹ năng Nghe - Phần 1
sửa đổi,,,,,Từ vựng kỹ năng Nghe - Phần 1
tưởng nhớ,,,,,Từ vựng kỹ năng Nghe - Phần 1
"hiệp hội, mối quan hệ",,,,,Từ vựng kỹ năng Nghe - Phần 1
Liếc nhìn ai/cái gì,,,,,Từ vựng kỹ năng Nghe - Phần 4
Loại bỏ cái gì,,,,,Từ vựng kỹ năng Nghe - Phần 4
Kiểm tra,,,,,Từ vựng kỹ năng Nghe - Phần 4
Nổi,,,,,Từ vựng kỹ năng Nghe - Phần 4
Ở xa,,,,,Từ vựng kỹ năng Nghe - Phần 4
Nhà cung cấp,,,,,Từ vựng kỹ năng Nghe - Phần 4
Sự đặt trước,,,,,Từ vựng kỹ năng Nghe - Phần 4
Thoải mái,,,,,Từ vựng kỹ năng Nghe - Phần 4
Giấy chứng nhận,,,,,Từ vựng kỹ năng Nghe - Phần 4
Cải tạo,,,,,Từ vựng kỹ năng Nghe - Phần 4
Giao hàng nhanh,,,,,Từ vựng kỹ năng Nghe - Phần 4
Theo đuổi,,,,,Từ vựng kỹ năng Nghe - Phần 4
Hội chợ việc làm,,,,,Từ vựng kỹ năng Nghe - Phần 4
Có tính truyền cảm hứng,,,,,Từ vựng kỹ năng Nghe - Phần 4
Xem sơ qua cái gì,,,,,Từ vựng kỹ năng Nghe - Phần 4
Gần đó,,,,,Từ vựng kỹ năng Nghe - Phần 4
Đáng kể,,,,,Từ vựng kỹ năng Nghe - Phần 4
Ngừng,,,,,Từ vựng kỹ năng Nghe - Phần 4
Cụ thể,,,,,Từ vựng kỹ năng Nghe - Phần 4
Trễ,,,,,Từ vựng kỹ năng Nghe - Phần 4
